  **** HLS Build v2024.2 5238294
INFO: [HLS 200-2005] Using work_dir /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/MPPI_Float 
INFO: [HLS 200-1505] Using default flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'syn.file=gaussian_noise_gen.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(9)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/gaussian_noise_gen.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(10)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=datatypes.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(11)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/datatypes.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=compute_weight.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(12)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/compute_weight.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=globals.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(13)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/globals.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=helper.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(14)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/helper.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=costs.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(15)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/costs.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=smoothning_filter.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(16)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/smoothning_filter.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=nearest_neighbor.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(17)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/nearest_neighbor.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.hpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(18)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.hpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=ref_path.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(19)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/ref_path.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=mppi_control.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(20)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/mppi_control.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=dynamics.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(21)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/dynamics.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.file=clip.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(22)
INFO: [HLS 200-10] Adding design file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/clip.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'tb.file=tb.cpp' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(8)
INFO: [HLS 200-10] Adding test bench file '/home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/tb.cpp' to the project
INFO: [HLS 200-1465] Applying ini 'syn.top=calc_control_input' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(23)
INFO: [HLS 200-1465] Applying ini 'flow_target=vivado' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(4)
INFO: [HLS 200-1505] Using flow_target 'vivado'
Resolution: For help on HLS 200-1505 see docs.xilinx.com/access/sources/dita/topic?Doc_Version=2024.2%20English&url=ug1448-hls-guidance&resourceid=200-1505.html
INFO: [HLS 200-1465] Applying ini 'part=xczu9eg-ffvb1156-2-e' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(1)
INFO: [HLS 200-1611] Setting target device to 'xczu9eg-ffvb1156-2-e'
INFO: [HLS 200-1465] Applying ini 'clock=5' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(7)
INFO: [SYN 201-201] Setting up clock 'default' with a period of 5ns.
INFO: [HLS 200-1465] Applying ini 'csim.clean=1' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(24)
INFO: [HLS 200-1465] Applying ini 'csim.code_analyzer=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(25)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_address=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(26)
INFO: [HLS 200-1465] Applying ini 'csim.sanitize_undefined=0' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(28)
INFO: [HLS 200-1465] Applying ini 'package.output.format=ip_catalog' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(5)
INFO: [HLS 200-1465] Applying ini 'syn.dataflow.default_channel=fifo' from /home/tanmay-desai/MPPI_FPGA_DATAFLOW/MPPI_FLOAT_KINEMATIC/MPPI_Float/hls_config.cfg(27)
INFO: [XFORM 203-701] Set the default channel type in dataflow to FIFO.
INFO: [SIM 211-2] *************** CSIM start ***************
INFO: [SIM 211-4] CSIM will launch CLANG as the compiler.
INFO: [HLS 200-2036] Building debug C Simulation binaries
   Compiling ../../../../tb.cpp in debug mode
   Compiling ../../../../clip.cpp in debug mode
   Compiling ../../../../dynamics.cpp in debug mode
   Compiling ../../../../mppi_control.cpp in debug mode
   Compiling ../../../../ref_path.cpp in debug mode
   Compiling ../../../../nearest_neighbor.cpp in debug mode
   Compiling ../../../../smoothning_filter.cpp in debug mode
   Compiling ../../../../costs.cpp in debug mode
   Compiling ../../../../helper.cpp in debug mode
   Compiling ../../../../globals.cpp in debug mode
   Compiling ../../../../compute_weight.cpp in debug mode
   Compiling ../../../../gaussian_noise_gen.cpp in debug mode
   Generating csim.exe
[INFO] Start simulation of pathtracking with MPPI controller
[INFO] delta_t: 0.04[s], sim_steps: 1000[steps], total_sim_time: 40[s]
Time: 0.00[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=0.00000[m/s], steer=0.10180[rad], accel=0.98309[m/s^2]
Time: 0.04[s], x=0.00000[m], y=0.00000[m], yaw=0.00000[rad], v=0.03932[m/s], steer=0.52300[rad], accel=1.41571[m/s^2]
Time: 0.08[s], x=0.00157[m], y=0.00000[m], yaw=0.00036[rad], v=0.09595[m/s], steer=0.52300[rad], accel=1.93247[m/s^2]
Time: 0.12[s], x=0.00541[m], y=0.00000[m], yaw=0.00125[rad], v=0.17325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.16[s], x=0.01234[m], y=0.00001[m], yaw=0.00285[rad], v=0.25325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.20[s], x=0.02247[m], y=0.00004[m], yaw=0.00518[rad], v=0.33325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.24[s], x=0.03580[m], y=0.00011[m], yaw=0.00826[rad], v=0.41325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.28[s], x=0.05233[m], y=0.00024[m], yaw=0.01207[rad], v=0.49325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.32[s], x=0.07206[m], y=0.00048[m], yaw=0.01662[rad], v=0.57325[m/s], steer=0.52300[rad], accel=2.00000[m/s^2]
Time: 0.36[s], x=0.09499[m], y=0.00086[m], yaw=0.02191[rad], v=0.65325[m/s], steer=0.45722[rad], accel=2.00000[m/s^2]
Time: 0.40[s], x=0.12111[m], y=0.00144[m], yaw=0.02705[rad], v=0.73325[m/s], steer=0.42119[rad], accel=2.00000[m/s^2]
Time: 0.44[s], x=0.15043[m], y=0.00223[m], yaw=0.03231[rad], v=0.81325[m/s], steer=0.29851[rad], accel=2.00000[m/s^2]
Time: 0.48[s], x=0.18294[m], y=0.00328[m], yaw=0.03631[rad], v=0.89325[m/s], steer=0.32678[rad], accel=2.00000[m/s^2]
Time: 0.52[s], x=0.21865[m], y=0.00458[m], yaw=0.04115[rad], v=0.97325[m/s], steer=0.21679[rad], accel=2.00000[m/s^2]
Time: 0.56[s], x=0.25755[m], y=0.00618[m], yaw=0.04458[rad], v=1.05325[m/s], steer=0.18081[rad], accel=2.00000[m/s^2]
Time: 0.60[s], x=0.29963[m], y=0.00806[m], yaw=0.04766[rad], v=1.13325[m/s], steer=0.19499[rad], accel=2.00000[m/s^2]
Time: 0.64[s], x=0.34491[m], y=0.01022[m], yaw=0.05124[rad], v=1.21325[m/s], steer=0.13716[rad], accel=2.00000[m/s^2]
Time: 0.68[s], x=0.39338[m], y=0.01270[m], yaw=0.05392[rad], v=1.29325[m/s], steer=0.14352[rad], accel=2.00000[m/s^2]
Time: 0.72[s], x=0.44503[m], y=0.01549[m], yaw=0.05691[rad], v=1.37325[m/s], steer=0.13733[rad], accel=2.00000[m/s^2]
Time: 0.76[s], x=0.49987[m], y=0.01861[m], yaw=0.05995[rad], v=1.45325[m/s], steer=0.44237[rad], accel=2.00000[m/s^2]
Time: 0.80[s], x=0.55790[m], y=0.02210[m], yaw=0.07096[rad], v=1.53325[m/s], steer=0.42953[rad], accel=2.00000[m/s^2]
Time: 0.84[s], x=0.61908[m], y=0.02645[m], yaw=0.08220[rad], v=1.61325[m/s], steer=0.16490[rad], accel=2.00000[m/s^2]
Time: 0.88[s], x=0.68339[m], y=0.03174[m], yaw=0.08650[rad], v=1.69325[m/s], steer=-0.14610[rad], accel=2.00000[m/s^2]
Time: 0.92[s], x=0.75086[m], y=0.03760[m], yaw=0.08251[rad], v=1.77325[m/s], steer=-0.38541[rad], accel=2.00000[m/s^2]
Time: 0.96[s], x=0.82155[m], y=0.04344[m], yaw=0.07100[rad], v=1.85325[m/s], steer=-0.34653[rad], accel=2.00000[m/s^2]
Time: 1.00[s], x=0.89550[m], y=0.04870[m], yaw=0.06029[rad], v=1.93325[m/s], steer=0.02129[rad], accel=2.00000[m/s^2]
Time: 1.04[s], x=0.97269[m], y=0.05336[m], yaw=0.06095[rad], v=2.01325[m/s], steer=0.47240[rad], accel=2.00000[m/s^2]
Time: 1.08[s], x=1.05307[m], y=0.05827[m], yaw=0.07741[rad], v=2.09325[m/s], steer=0.43738[rad], accel=2.00000[m/s^2]
Time: 1.12[s], x=1.13655[m], y=0.06474[m], yaw=0.09307[rad], v=2.17325[m/s], steer=0.25581[rad], accel=2.00000[m/s^2]
Time: 1.16[s], x=1.22310[m], y=0.07282[m], yaw=0.10217[rad], v=2.25325[m/s], steer=-0.24992[rad], accel=2.00000[m/s^2]
Time: 1.20[s], x=1.31276[m], y=0.08201[m], yaw=0.09296[rad], v=2.33325[m/s], steer=-0.52300[rad], accel=2.00000[m/s^2]
Time: 1.24[s], x=1.40569[m], y=0.09068[m], yaw=0.07144[rad], v=2.41325[m/s], steer=-0.40587[rad], accel=2.00000[m/s^2]
Time: 1.28[s], x=1.50197[m], y=0.09757[m], yaw=0.05485[rad], v=2.49325[m/s], steer=-0.06589[rad], accel=2.00000[m/s^2]
Time: 1.32[s], x=1.60155[m], y=0.10303[m], yaw=0.05222[rad], v=2.57325[m/s], steer=0.20716[rad], accel=2.00000[m/s^2]
Time: 1.36[s], x=1.70434[m], y=0.10841[m], yaw=0.06087[rad], v=2.65325[m/s], steer=0.41070[rad], accel=2.00000[m/s^2]
Time: 1.40[s], x=1.81027[m], y=0.11486[m], yaw=0.07935[rad], v=2.73325[m/s], steer=0.27666[rad], accel=2.00000[m/s^2]
Time: 1.44[s], x=1.91926[m], y=0.12353[m], yaw=0.09177[rad], v=2.81325[m/s], steer=-0.09750[rad], accel=2.00000[m/s^2]
Time: 1.48[s], x=2.03132[m], y=0.13384[m], yaw=0.08737[rad], v=2.89325[m/s], steer=-0.29742[rad], accel=2.00000[m/s^2]
Time: 1.52[s], x=2.14661[m], y=0.14394[m], yaw=0.07318[rad], v=2.97325[m/s], steer=-0.33041[rad], accel=2.00000[m/s^2]
Time: 1.56[s], x=2.26522[m], y=0.15263[m], yaw=0.05686[rad], v=3.05325[m/s], steer=-0.21024[rad], accel=2.00000[m/s^2]
Time: 1.60[s], x=2.38715[m], y=0.15958[m], yaw=0.04644[rad], v=3.13325[m/s], steer=0.02343[rad], accel=2.00000[m/s^2]
Time: 1.64[s], x=2.51234[m], y=0.16539[m], yaw=0.04761[rad], v=3.21325[m/s], steer=0.20667[rad], accel=2.00000[m/s^2]
Time: 1.68[s], x=2.64073[m], y=0.17151[m], yaw=0.05839[rad], v=3.29325[m/s], steer=0.19392[rad], accel=2.00000[m/s^2]
Time: 1.72[s], x=2.77223[m], y=0.17920[m], yaw=0.06874[rad], v=3.37325[m/s], steer=0.08418[rad], accel=2.00000[m/s^2]
Time: 1.76[s], x=2.90685[m], y=0.18847[m], yaw=0.07330[rad], v=3.45325[m/s], steer=-0.04717[rad], accel=2.00000[m/s^2]
Time: 1.80[s], x=3.04460[m], y=0.19858[m], yaw=0.07069[rad], v=3.53325[m/s], steer=-0.15432[rad], accel=2.00000[m/s^2]
Time: 1.84[s], x=3.18558[m], y=0.20856[m], yaw=0.06189[rad], v=3.61325[m/s], steer=-0.16508[rad], accel=2.00000[m/s^2]
Time: 1.88[s], x=3.32983[m], y=0.21750[m], yaw=0.05226[rad], v=3.69325[m/s], steer=-0.09328[rad], accel=2.00000[m/s^2]
Time: 1.92[s], x=3.47736[m], y=0.22522[m], yaw=0.04673[rad], v=3.77325[m/s], steer=-0.00700[rad], accel=2.00000[m/s^2]
Time: 1.96[s], x=3.62813[m], y=0.23227[m], yaw=0.04631[rad], v=3.85325[m/s], steer=0.04564[rad], accel=2.00000[m/s^2]
Time: 2.00[s], x=3.78209[m], y=0.23941[m], yaw=0.04913[rad], v=3.93325[m/s], steer=0.05433[rad], accel=2.00000[m/s^2]
Time: 2.04[s], x=3.93923[m], y=0.24713[m], yaw=0.05255[rad], v=4.01325[m/s], steer=0.01668[rad], accel=1.99724[m/s^2]
Time: 2.08[s], x=4.09954[m], y=0.25557[m], yaw=0.05362[rad], v=4.09314[m/s], steer=-0.02665[rad], accel=1.83598[m/s^2]
Time: 2.12[s], x=4.26303[m], y=0.26434[m], yaw=0.05187[rad], v=4.16658[m/s], steer=-0.05389[rad], accel=1.67310[m/s^2]
Time: 2.16[s], x=4.42947[m], y=0.27298[m], yaw=0.04828[rad], v=4.23350[m/s], steer=-0.07120[rad], accel=1.49828[m/s^2]
Time: 2.20[s], x=4.59861[m], y=0.28115[m], yaw=0.04345[rad], v=4.29343[m/s], steer=-0.05576[rad], accel=1.31462[m/s^2]
Time: 2.24[s], x=4.77019[m], y=0.28861[m], yaw=0.03961[rad], v=4.34602[m/s], steer=-0.02249[rad], accel=1.13411[m/s^2]
Time: 2.28[s], x=4.94389[m], y=0.29550[m], yaw=0.03805[rad], v=4.39138[m/s], steer=0.00709[rad], accel=0.96376[m/s^2]
Time: 2.32[s], x=5.11942[m], y=0.30218[m], yaw=0.03855[rad], v=4.42993[m/s], steer=0.03040[rad], accel=0.80873[m/s^2]
Time: 2.36[s], x=5.29649[m], y=0.30901[m], yaw=0.04070[rad], v=4.46228[m/s], steer=0.03589[rad], accel=0.64723[m/s^2]
Time: 2.40[s], x=5.47483[m], y=0.31627[m], yaw=0.04327[rad], v=4.48817[m/s], steer=-0.00319[rad], accel=0.50029[m/s^2]
Time: 2.44[s], x=5.65419[m], y=0.32404[m], yaw=0.04304[rad], v=4.50818[m/s], steer=-0.02396[rad], accel=0.35557[m/s^2]
Time: 2.48[s], x=5.83435[m], y=0.33180[m], yaw=0.04131[rad], v=4.52241[m/s], steer=-0.04605[rad], accel=0.22405[m/s^2]
